pressurec2,energy_densityc2,baryon_density,cs2c2
1.081603630000000000e+12,9.838084835000000000e+13,9.816363824000000000e+13,2.852190243913246825e-02
1.117110651000000000e+12,9.961854092000000000e+13,9.938498466000000000e+13,2.902205539261197564e-02
1.153783300000000000e+12,1.008676471000000000e+14,1.006171527000000000e+14,2.988103222394562081e-02
1.191659843000000000e+12,1.021135204000000000e+14,1.018456822000000000e+14,3.112592553536020629e-02
1.230779803000000000e+12,1.033421536000000000e+14,1.030567591000000000e+14,3.277797357868730138e-02
1.271183997000000000e+12,1.045413317000000000e+14,1.042383508000000000e+14,3.484943009475426068e-02
1.312914585000000000e+12,1.057015443000000000e+14,1.053811029000000000e+14,3.733836308899982082e-02
1.356015111000000000e+12,1.068165417000000000e+14,1.064788832000000000e+14,4.022204408967203215e-02
1.400530545000000000e+12,1.078835123000000000e+14,1.075289511000000000e+14,4.344889884325116303e-02
1.446507339000000000e+12,1.089029641000000000e+14,1.085318361000000000e+14,4.693083553105481531e-02
1.493993464000000000e+12,1.098783783000000000e+14,1.094909916000000000e+14,5.053869903086220805e-02
1.543038469000000000e+12,1.108157473000000000e+14,1.104123356000000000e+14,5.410267213574729978e-02
1.593693530000000000e+12,1.117231153000000000e+14,1.113037951000000000e+14,5.741849511175207976e-02
1.646011502000000000e+12,1.126102351000000000e+14,1.121749651000000000e+14,6.026187054780111907e-02
1.700046975000000000e+12,1.134883525000000000e+14,1.130368930000000000e+14,6.241016641945482113e-02
1.755856331000000000e+12,1.143701780000000000e+14,1.139020481000000000e+14,6.366832344818462719e-02
1.813497804000000000e+12,1.152700389000000000e+14,1.147844668000000000e+14,6.389506624490787212e-02
1.873031539000000000e+12,1.162042236000000000e+14,1.157000866000000000e+14,6.302420520523951963e-02
1.934519654000000000e+12,1.171915024000000000e+14,1.166672508000000000e+14,6.107594277279316392e-02
1.998026309000000000e+12,1.182538434000000000e+14,1.177074039000000000e+14,5.815555059565073043e-02
2.063617768000000000e+12,1.194172956000000000e+14,1.188459483000000000e+14,5.444055390770807107e-02
2.131362472000000000e+12,1.207129902000000000e+14,1.201132132000000000e+14,5.015724562633572942e-02
2.201331107000000000e+12,1.221782518000000000e+14,1.215455291000000000e+14,4.555110224751730830e-02
2.273596682000000000e+12,1.238577187000000000e+14,1.231863079000000000e+14,4.085908417129178322e-02
2.348234601000000000e+12,1.258042395000000000e+14,1.250869012000000000e+14,3.628716003824204034e-02
2.425322742000000000e+12,1.280793832000000000e+14,1.273070802000000000e+14,3.199510337529137133e-02
2.504941542000000000e+12,1.307532516000000000e+14,1.299148350000000000e+14,2.809151685227209705e-02
2.587174079000000000e+12,1.339031515000000000e+14,1.329850636000000000e+14,2.463683404064904992e-02
2.672106155000000000e+12,1.376108358000000000e+14,1.365968741000000000e+14,2.165126565201215894e-02
2.759826392000000000e+12,1.419579593000000000e+14,1.408291571000000000e+14,1.912540649224247699e-02
2.850426321000000000e+12,1.470197771000000000e+14,1.457544600000000000e+14,1.703046713984130919e-02
2.944000475000000000e+12,1.528575266000000000e+14,1.514315964000000000e+14,1.532749798449292017e-02
3.040646493000000000e+12,1.595099555000000000e+14,1.578974392000000000e+14,1.397472049868592539e-02
3.140465219000000000e+12,1.669852892000000000e+14,1.651591564000000000e+14,1.293194372347701918e-02
3.243560807000000000e+12,1.752554097000000000e+14,1.731886105000000000e+14,1.216356699118928582e-02
3.350040830000000000e+12,1.842528329000000000e+14,1.819194884000000000e+14,1.164063037718414753e-02
3.460016392000000000e+12,1.938716566000000000e+14,1.912482980000000000e+14,1.134108581727918605e-02
3.573602246000000000e+12,2.039734126000000000e+14,2.010401262000000000e+14,1.124971321852272568e-02
3.690916911000000000e+12,2.143963488000000000e+14,2.111377136000000000e+14,1.135828977557526431e-02
3.812082796000000000e+12,2.249668875000000000e+14,2.213726149000000000e+14,1.166509596611180893e-02
3.937226330000000000e+12,2.355122988000000000e+14,2.315775011000000000e+14,1.217431823213134534e-02
4.066478092000000000e+12,2.458722272000000000e+14,2.415973110000000000e+14,1.289575579418487765e-02
4.199972947000000000e+12,2.559077396000000000e+14,2.512979667000000000e+14,1.384420252289232656e-02
4.337850188000000000e+12,2.655074641000000000e+14,2.605722504000000000e+14,1.503887693221576081e-02
4.480253680000000000e+12,2.745900720000000000e+14,2.693421312000000000e+14,1.650241077601706519e-02
4.627332012000000000e+12,2.831042264000000000e+14,2.775586437000000000e+14,1.825961951878172368e-02
4.779238650000000000e+12,2.910258821000000000e+14,2.851992149000000000e+14,2.033675224069359314e-02
4.936132098000000000e+12,2.983537936000000000e+14,2.922632751000000000e+14,2.275968307438249252e-02
5.098176064000000000e+12,3.051048495000000000e+14,2.987677163000000000e+14,2.555221273516239400e-02
5.265539630000000000e+12,3.113089825000000000e+14,3.047419554000000000e+14,2.873448764814177242e-02
5.438397428000000000e+12,3.170046981000000000e+14,3.102236065000000000e+14,3.232150174155553474e-02
5.616929824000000000e+12,3.222351718000000000e+14,3.152547119000000000e+14,3.632232184588655988e-02
5.801323104000000000e+12,3.270451560000000000e+14,3.198787609000000000e+14,4.073915003703682675e-02
5.991769669000000000e+12,3.314788149000000000e+14,3.241386071000000000e+14,4.556825264484568039e-02
6.188468239000000000e+12,3.355780142000000000e+14,3.280748282000000000e+14,5.080152867204739547e-02
6.391624053000000000e+12,3.393813536000000000e+14,3.317248028000000000e+14,5.642797252136448616e-02
6.601449093000000000e+12,3.429236582000000000e+14,3.351222286000000000e+14,6.243612919055293448e-02
6.818162295000000000e+12,3.462357891000000000e+14,3.382969492000000000e+14,6.881568063312853978e-02
7.041989785000000000e+12,3.493447816000000000e+14,3.412750944000000000e+14,7.555834385308299317e-02
7.273165113000000000e+12,3.522741246000000000e+14,3.440793557000000000e+14,8.265835556618612856e-02
7.511929493000000000e+12,3.550441384000000000e+14,3.467293552000000000e+14,9.011124544491320998e-02
7.758532061000000000e+12,3.576724327000000000e+14,3.492420899000000000e+14,9.790980324833206683e-02
8.013230128000000000e+12,3.601744445000000000e+14,3.516324523000000000e+14,1.060399700433201642e-01
8.276289456000000000e+12,3.625638995000000000e+14,3.539136742000000000e+14,1.144740950572410987e-01
8.547984529000000000e+12,3.648533426000000000e+14,3.560978376000000000e+14,1.231649456239380380e-01
8.828598841000000000e+12,3.670545203000000000e+14,3.581962409000000000e+14,1.320417600525023993e-01
9.118425196000000000e+12,3.691787178000000000e+14,3.602197213000000000e+14,1.410050400592143260e-01
9.417766007000000000e+12,3.712370592000000000e+14,3.621789412000000000e+14,1.499275809436518281e-01
9.726933615000000000e+12,3.732406430000000000e+14,3.640845161000000000e+14,1.586587242962749222e-01
1.004625062000000000e+13,3.752006588000000000e+14,3.659471248000000000e+14,1.670303158898890361e-01
1.037605020000000000e+13,3.771284384000000000e+14,3.677775565000000000e+14,1.748669298415976014e-01
1.071667648000000000e+13,3.790354733000000000e+14,3.695867251000000000e+14,1.820019576970588748e-01
1.106848489000000000e+13,3.809333246000000000e+14,3.713855829000000000e+14,1.882974806951253077e-01
1.143184250000000000e+13,3.828334668000000000e+14,3.731849700000000000e+14,1.936571819397644445e-01
1.180712847000000000e+13,3.847471643000000000e+14,3.749954970000000000e+14,1.980363472297909100e-01
1.219473437000000000e+13,3.866852698000000000e+14,3.768273537000000000e+14,2.014522180481066738e-01
1.259506464000000000e+13,3.886579395000000000e+14,3.786900394000000000e+14,2.039860080281256649e-01
1.300853701000000000e+13,3.906743181000000000e+14,3.805920679000000000e+14,2.057783649003314119e-01
1.343558290000000000e+13,3.927421544000000000e+14,3.825406069000000000e+14,2.070196877938180469e-01
1.387664791000000000e+13,3.948674097000000000e+14,3.845411142000000000e+14,2.079354107843914279e-01
1.433219226000000000e+13,3.970538762000000000e+14,3.865969845000000000e+14,2.087706282336248553e-01
1.480269127000000000e+13,3.993028501000000000e+14,3.887092507000000000e+14,2.097736662596115798e-01
1.528863588000000000e+13,4.016129484000000000e+14,3.908764227000000000e+14,2.111776727443672730e-01
1.579053314000000000e+13,4.039801765000000000e+14,3.930945611000000000e+14,2.131879686295556353e-01
1.630890676000000000e+13,4.063981665000000000e+14,3.953575135000000000e+14,2.159715849266461707e-01
1.684429760000000000e+13,4.088587254000000000e+14,3.976574377000000000e+14,2.196430813730417542e-01
1.739726432000000000e+13,4.113526569000000000e+14,3.999855784000000000e+14,2.242567900067131970e-01
1.796838391000000000e+13,4.138706751000000000e+14,4.023331257000000000e+14,2.298002175344832088e-01
1.855825228000000000e+13,4.164044092000000000e+14,4.046921522000000000e+14,2.361870816154937880e-01
1.916748492000000000e+13,4.189473237000000000e+14,4.070564652000000000e+14,2.432568697415625203e-01
1.979671753000000000e+13,4.214954350000000000e+14,4.094222641000000000e+14,2.507770838171136663e-01
2.044660667000000000e+13,4.240478252000000000e+14,4.117886040000000000e+14,2.584497184852095897e-01
2.111783044000000000e+13,4.266069186000000000e+14,4.141576357000000000e+14,2.659304477072401696e-01
2.181108924000000000e+13,4.291784589000000000e+14,4.165345655000000000e+14,2.728504635244951571e-01
2.252710643000000000e+13,4.317714167000000000e+14,4.189275508000000000e+14,2.788395821299237132e-01
2.326662911000000000e+13,4.343977975000000000e+14,4.213475024000000000e+14,2.835599918141490927e-01
2.403042894000000000e+13,4.370723392000000000e+14,4.238077866000000000e+14,2.867346470461821784e-01
2.481930289000000000e+13,4.398122848000000000e+14,4.263239964000000000e+14,2.881672157682553248e-01
2.563407409000000000e+13,4.426371700000000000e+14,4.289137386000000000e+14,2.877580433490657397e-01
2.647559271000000000e+13,4.455686311000000000e+14,4.315964388000000000e+14,2.855066773578834871e-01
2.734473680000000000e+13,4.486302957000000000e+14,4.343932241000000000e+14,2.815048480960535282e-01
2.824241326000000000e+13,4.518476664000000000e+14,4.373267981000000000e+14,2.759222013872594248e-01
2.916955876000000000e+13,4.552480453000000000e+14,4.404213552000000000e+14,2.689799408931233815e-01
3.012714071000000000e+13,4.588605966000000000e+14,4.437026182000000000e+14,2.609259208181710643e-01
3.111615828000000000e+13,4.627163865000000000e+14,4.471978563000000000e+14,2.520083001949529056e-01
3.213764344000000000e+13,4.668487358000000000e+14,4.509361836000000000e+14,2.424477164183675981e-01
3.319266205000000000e+13,4.712938395000000000e+14,4.549490959000000000e+14,2.324220546362207040e-01
3.428231494000000000e+13,4.760917588000000000e+14,4.592713357000000000e+14,2.220558526281284917e-01
3.540773909000000000e+13,4.812880391000000000e+14,4.639423108000000000e+14,2.114158180850305713e-01
3.657010881000000000e+13,4.869361005000000000e+14,4.690081883000000000e+14,2.005193179920601865e-01
3.777063695000000000e+13,4.931003598000000000e+14,4.745246186000000000e+14,1.893492152174297838e-01
3.901057617000000000e+13,4.998604878000000000e+14,4.805604404000000000e+14,1.778687910582941734e-01
4.029122028000000000e+13,5.073170951000000000e+14,4.872026119000000000e+14,1.660480082710196759e-01
4.161390553000000000e+13,5.155983917000000000e+14,4.945619475000000000e+14,1.538888395361488470e-01
4.298001206000000000e+13,5.248688258000000000e+14,5.027805364000000000e+14,1.414393924234719491e-01
4.439096531000000000e+13,5.353397029000000000e+14,5.120408220000000000e+14,1.288062929297211778e-01
4.584823751000000000e+13,5.472819020000000000e+14,5.225764207000000000e+14,1.161567801175443365e-01
4.735334923000000000e+13,5.610405942000000000e+14,5.346845763000000000e+14,1.037090389425149306e-01
4.890787094000000000e+13,5.770510365000000000e+14,5.487394207000000000e+14,9.170970596397669261e-02
5.051342469000000000e+13,5.958545531000000000e+14,5.652052698000000000e+14,8.040579063646050018e-02
5.217168576000000000e+13,6.181096168000000000e+14,5.846455324000000000e+14,7.001692880148410736e-02
5.388438443000000000e+13,6.445940835000000000e+14,6.077238919000000000e+14,6.070941546307805775e-02
5.565330778000000000e+13,6.761894101000000000e+14,6.351899264000000000e+14,5.258476018444925570e-02
5.748030158000000000e+13,7.138352036000000000e+14,6.678392796000000000e+14,4.567945289556105820e-02
5.936727216000000000e+13,7.584441331000000000e+14,7.064400463000000000e+14,3.997419774988373448e-02
6.131618845000000000e+13,8.107700573000000000e+14,7.516194949000000000e+14,3.541076132838166801e-02
6.332908400000000000e+13,8.712348003000000000e+14,8.037161046000000000e+14,3.191194741205565649e-02
